evaluation_scope,dataset,model,structure_class,annotation_id,annotation_class,nearest_predictions,aligned_predictions,best_prediction_id,best_match_cost,best_angle_error_deg,best_offset_error_m,best_segment_gap_m,best_overlap_ratio,best_xy_error_m,source_file,source_dataset
walllike_boundary,teste_percepcion_5_0,InGraph,wall,wall_03,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,wall_04,wall,5,5,29,0.028495,0.159407,0.003428,0.000000,0.999996,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,wall_05,wall,1,1,1,0.262275,0.652975,0.072261,0.000000,0.964412,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,wall_06,wall,1,1,3,1.007508,3.773216,0.214343,0.000000,0.997832,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,wall_07,wall,1,0,5,2.813447,5.236057,0.863576,0.000000,0.995827,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,boundary_01,wall_like_boundary,4,4,20,0.178674,0.727797,0.035080,0.000000,0.999919,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,boundary_06,wall_like_boundary,1,1,39,0.105505,0.050409,0.039682,0.000000,1.000000,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,boundary_08,wall_like_boundary,1,1,14,0.204756,0.427398,0.060532,0.000000,1.000000,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,boundary_12,wall_like_boundary,1,1,38,1.098124,3.624784,0.258010,0.000000,0.984364,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,pipe,pipe_01,pipe,1,1,44,0.270555,,,,,0.094694,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,pipe,pipe_02,pipe,1,1,36,0.077539,,,,,0.027139,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,wall_01,wall,2,2,x:3,0.826385,6.379787,0.011565,0.000000,0.987517,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,wall_02,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,wall_03,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,wall_04,wall,1,0,y:22,2.304140,9.139799,0.464666,0.000000,0.987304,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,wall_05,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
